storm_id,t_sec,datetime,kind,Cl_mgL,in_scoring
1,10800.0,2007-09-12 02:00:00,stream,5.56,False
1,36000.0,2007-09-12 09:00:00,stream,5.59,False
1,61200.0,2007-09-12 16:00:00,stream,5.57,False
1,86400.0,2007-09-12 23:00:00,stream,5.55,False
1,111600.0,2007-09-13 06:00:00,stream,5.54,False
1,136800.0,2007-09-13 13:00:00,stream,5.59,False
1,162000.0,2007-09-13 20:00:00,stream,5.61,False
1,187200.0,2007-09-14 03:00:00,stream,5.59,False
1,212400.0,2007-09-14 10:00:00,stream,6.01,False
1,237600.0,2007-09-14 17:00:00,stream,5.71,False
1,262800.0,2007-09-15 00:00:00,stream,5.68,False
1,288000.0,2007-09-15 07:00:00,stream,5.68,False
1,313200.0,2007-09-15 14:00:00,stream,5.62,False
1,338400.0,2007-09-15 21:00:00,stream,5.6,False
1,363600.0,2007-09-16 04:00:00,stream,5.82,False
1,388800.0,2007-09-16 11:00:00,stream,5.77,False
1,414000.0,2007-09-16 18:00:00,stream,5.93,False
1,439200.0,2007-09-17 01:00:00,stream,5.72,False
1,464400.0,2007-09-17 08:00:00,stream,5.66,False
1,489600.0,2007-09-17 15:00:00,stream,5.64,False
1,514800.0,2007-09-17 22:00:00,stream,5.65,False
1,540000.0,2007-09-18 05:00:00,stream,5.65,False
1,565200.0,2007-09-18 12:00:00,stream,5.54,False
1,590400.0,2007-09-18 19:00:00,stream,5.53,False
1,615600.0,2007-09-19 02:00:00,stream,5.71,True
1,640800.0,2007-09-19 09:00:00,stream,5.95,True
1,666000.0,2007-09-19 16:00:00,stream,4.76,True
1,691200.0,2007-09-19 23:00:00,stream,4.14,True
1,716400.0,2007-09-20 06:00:00,stream,4.5,True
1,741600.0,2007-09-20 13:00:00,stream,4.61,True
1,766800.0,2007-09-20 20:00:00,stream,4.69,True
1,792000.0,2007-09-21 03:00:00,stream,4.77,True
1,817200.0,2007-09-21 10:00:00,stream,4.61,True
1,842400.0,2007-09-21 17:00:00,stream,4.51,True
1,867600.0,2007-09-22 00:00:00,stream,4.68,True
1,892800.0,2007-09-22 07:00:00,stream,4.78,True
1,918000.0,2007-09-22 14:00:00,stream,4.83,True
1,943200.0,2007-09-22 21:00:00,stream,4.9,True
1,187200.0,2007-09-14 03:00:00,rain,10.9,False
1,212400.0,2007-09-14 10:00:00,rain,1.32,False
1,388800.0,2007-09-16 11:00:00,rain,0.96,False
1,439200.0,2007-09-17 01:00:00,rain,11.3,False
1,565200.0,2007-09-18 12:00:00,rain,14.5,False
1,590400.0,2007-09-18 19:00:00,rain,5.3,False
1,615600.0,2007-09-19 02:00:00,rain,4.73,False
1,640800.0,2007-09-19 09:00:00,rain,5.35,False
1,666000.0,2007-09-19 16:00:00,rain,7.46,False
1,691200.0,2007-09-19 23:00:00,rain,7.13,False
1,741600.0,2007-09-20 13:00:00,rain,1.75,False
1,766800.0,2007-09-20 20:00:00,rain,1.59,False
1,792000.0,2007-09-21 03:00:00,rain,2.47,False
1,867600.0,2007-09-22 00:00:00,rain,7.36,False
1,943200.0,2007-09-22 21:00:00,rain,1.13,False
2,14400.0,2007-09-14 03:00:00,stream,5.59,False
2,39600.0,2007-09-14 10:00:00,stream,6.01,False
2,64800.0,2007-09-14 17:00:00,stream,5.71,False
2,90000.0,2007-09-15 00:00:00,stream,5.68,False
2,115200.0,2007-09-15 07:00:00,stream,5.68,False
2,140400.0,2007-09-15 14:00:00,stream,5.62,False
2,165600.0,2007-09-15 21:00:00,stream,5.6,False
2,190800.0,2007-09-16 04:00:00,stream,5.82,False
2,216000.0,2007-09-16 11:00:00,stream,5.77,False
2,241200.0,2007-09-16 18:00:00,stream,5.93,False
2,266400.0,2007-09-17 01:00:00,stream,5.72,False
2,291600.0,2007-09-17 08:00:00,stream,5.66,False
2,316800.0,2007-09-17 15:00:00,stream,5.64,False
2,342000.0,2007-09-17 22:00:00,stream,5.65,False
2,367200.0,2007-09-18 05:00:00,stream,5.65,False
2,392400.0,2007-09-18 12:00:00,stream,5.54,False
2,417600.0,2007-09-18 19:00:00,stream,5.53,False
2,442800.0,2007-09-19 02:00:00,stream,5.71,False
2,468000.0,2007-09-19 09:00:00,stream,5.95,False
2,493200.0,2007-09-19 16:00:00,stream,4.76,False
2,518400.0,2007-09-19 23:00:00,stream,4.14,False
2,543600.0,2007-09-20 06:00:00,stream,4.5,False
2,568800.0,2007-09-20 13:00:00,stream,4.61,False
2,594000.0,2007-09-20 20:00:00,stream,4.69,False
2,619200.0,2007-09-21 03:00:00,stream,4.77,True
2,644400.0,2007-09-21 10:00:00,stream,4.61,True
2,669600.0,2007-09-21 17:00:00,stream,4.51,True
2,694800.0,2007-09-22 00:00:00,stream,4.68,True
2,720000.0,2007-09-22 07:00:00,stream,4.78,True
2,745200.0,2007-09-22 14:00:00,stream,4.83,True
2,770400.0,2007-09-22 21:00:00,stream,4.9,True
2,795600.0,2007-09-23 04:00:00,stream,4.95,True
2,820800.0,2007-09-23 11:00:00,stream,4.95,True
2,846000.0,2007-09-23 18:00:00,stream,4.86,True
2,871200.0,2007-09-24 01:00:00,stream,4.53,True
2,896400.0,2007-09-24 08:00:00,stream,3.56,True
2,14400.0,2007-09-14 03:00:00,rain,10.9,False
2,39600.0,2007-09-14 10:00:00,rain,1.32,False
2,216000.0,2007-09-16 11:00:00,rain,0.96,False
2,266400.0,2007-09-17 01:00:00,rain,11.3,False
2,392400.0,2007-09-18 12:00:00,rain,14.5,False
2,417600.0,2007-09-18 19:00:00,rain,5.3,False
2,442800.0,2007-09-19 02:00:00,rain,4.73,False
2,468000.0,2007-09-19 09:00:00,rain,5.35,False
2,493200.0,2007-09-19 16:00:00,rain,7.46,False
2,518400.0,2007-09-19 23:00:00,rain,7.13,False
2,568800.0,2007-09-20 13:00:00,rain,1.75,False
2,594000.0,2007-09-20 20:00:00,rain,1.59,False
2,619200.0,2007-09-21 03:00:00,rain,2.47,False
2,694800.0,2007-09-22 00:00:00,rain,7.36,False
2,770400.0,2007-09-22 21:00:00,rain,1.13,False
2,795600.0,2007-09-23 04:00:00,rain,3.12,False
2,846000.0,2007-09-23 18:00:00,rain,2.6,False
2,871200.0,2007-09-24 01:00:00,rain,27.7,False
2,896400.0,2007-09-24 08:00:00,rain,17.0,False
3,21600.0,2007-09-16 11:00:00,stream,5.77,False
3,46800.0,2007-09-16 18:00:00,stream,5.93,False
3,72000.0,2007-09-17 01:00:00,stream,5.72,False
3,97200.0,2007-09-17 08:00:00,stream,5.66,False
3,122400.0,2007-09-17 15:00:00,stream,5.64,False
3,147600.0,2007-09-17 22:00:00,stream,5.65,False
3,172800.0,2007-09-18 05:00:00,stream,5.65,False
3,198000.0,2007-09-18 12:00:00,stream,5.54,False
3,223200.0,2007-09-18 19:00:00,stream,5.53,False
3,248400.0,2007-09-19 02:00:00,stream,5.71,False
3,273600.0,2007-09-19 09:00:00,stream,5.95,False
