storm_id,warmup_start,rain_start,q_peak_time,scoring_end,t_rain_start_sec,t_peak_sec,t_end_sec,pre_Cl,peak_Q,total_mm,peak_int_mmhr,ant_rain_72h,n_scoring_Cl
1,2007-09-11 23:00:00,2007-09-18 23:00:00,2007-09-19 22:00:00,2007-09-22 22:00:00,604800.0,687600.0,946800.0,5.54,2.18874,100.5,11.0,17.5,14
2,2007-09-13 23:00:00,2007-09-20 23:00:00,2007-09-21 13:00:00,2007-09-24 13:00:00,604800.0,655200.0,914400.0,4.555,0.85707,26.0,4.0,101.5,12
3,2007-09-16 05:00:00,2007-09-23 05:00:00,2007-09-24 05:00:00,2007-09-27 05:00:00,604800.0,691200.0,950400.0,4.83,2.68992,86.0,14.0,30.5,13
4,2007-09-19 07:00:00,2007-09-26 07:00:00,2007-09-26 10:00:00,2007-09-29 10:00:00,604800.0,615600.0,874800.0,4.96,0.56275,4.0,1.5,84.5,11
5,2007-10-01 21:00:00,2007-10-08 21:00:00,2007-10-09 13:00:00,2007-10-12 13:00:00,604800.0,662400.0,921600.0,5.47,0.67074,32.5,10.5,0.0,12
6,2007-10-08 16:00:00,2007-10-15 16:00:00,2007-10-15 21:00:00,2007-10-18 21:00:00,604800.0,622800.0,882000.0,5.48,0.40007,17.0,4.5,5.5,11
7,2007-10-19 21:00:00,2007-10-26 21:00:00,2007-10-28 09:00:00,2007-10-31 09:00:00,604800.0,734400.0,993600.0,5.43,1.4015,62.5,11.0,0.5,16
8,2007-11-17 09:00:00,2007-11-24 09:00:00,2007-11-24 13:00:00,2007-11-27 13:00:00,604800.0,619200.0,878400.0,5.640000000000001,0.61592,16.5,5.5,7.5,11
9,2007-11-18 21:00:00,2007-11-25 21:00:00,2007-11-28 15:00:00,2007-12-01 15:00:00,604800.0,842400.0,1101600.0,5.725,0.43099,8.5,1.0,18.5,20
10,2007-11-21 12:00:00,2007-11-28 12:00:00,2007-12-01 02:00:00,2007-12-04 02:00:00,604800.0,828000.0,1087200.0,5.57,1.34628,17.5,6.0,14.5,19
11,2007-11-29 02:00:00,2007-12-06 02:00:00,2007-12-06 18:00:00,2007-12-09 18:00:00,604800.0,662400.0,921600.0,6.27,6.10297,152.5,13.0,64.0,13
12,2007-12-17 08:00:00,2007-12-24 08:00:00,2007-12-24 21:00:00,2007-12-27 21:00:00,604800.0,651600.0,910800.0,5.87,0.54673,43.0,5.0,5.0,13
13,2007-12-20 08:00:00,2007-12-27 08:00:00,2007-12-28 16:00:00,2007-12-31 16:00:00,604800.0,720000.0,979200.0,5.83,2.41758,87.0,6.5,43.5,15
14,2007-12-30 17:00:00,2008-01-06 17:00:00,2008-01-10 12:00:00,2008-01-13 12:00:00,604800.0,932400.0,1191600.0,5.96,2.4971,96.5,6.5,16.5,24
15,2008-01-05 18:00:00,2008-01-12 18:00:00,2008-01-20 01:00:00,2008-01-23 01:00:00,604800.0,1234800.0,1494000.0,7.01,5.83201,379.0,11.5,48.5,35
16,2008-01-15 18:00:00,2008-01-22 18:00:00,2008-01-24 01:00:00,2008-01-27 01:00:00,604800.0,716400.0,975600.0,5.22,0.74154,32.0,2.5,158.0,15
17,2008-01-23 20:00:00,2008-01-30 20:00:00,2008-01-31 09:00:00,2008-02-03 09:00:00,604800.0,651600.0,910800.0,5.87,0.7189,21.5,6.5,14.5,12
18,2008-01-26 21:00:00,2008-02-02 21:00:00,2008-02-06 00:00:00,2008-02-09 00:00:00,604800.0,874800.0,1134000.0,5.93,0.6723,44.0,7.0,24.5,21
19,2008-02-18 18:00:00,2008-02-25 18:00:00,2008-02-26 02:00:00,2008-02-29 02:00:00,604800.0,633600.0,892800.0,6.205,1.72844,38.5,7.0,15.0,11
20,2008-02-22 09:00:00,2008-02-29 09:00:00,2008-02-29 15:00:00,2008-03-03 15:00:00,604800.0,626400.0,885600.0,5.98,2.15861,44.5,12.0,0.5,11
21,2008-02-23 16:00:00,2008-03-01 16:00:00,2008-03-02 01:00:00,2008-03-05 01:00:00,604800.0,637200.0,896400.0,6.095000000000001,0.97924,20.0,4.0,44.5,11
22,2008-02-29 01:00:00,2008-03-07 01:00:00,2008-03-08 17:00:00,2008-03-11 17:00:00,604800.0,748800.0,1008000.0,6.04,0.88416,12.0,5.0,7.5,12
23,2008-03-01 02:00:00,2008-03-08 02:00:00,2008-03-10 07:00:00,2008-03-13 07:00:00,604800.0,795600.0,1054800.0,6.29,0.91225,75.0,7.5,14.5,8
24,2008-03-13 11:00:00,2008-03-20 11:00:00,2008-03-20 22:00:00,2008-03-23 22:00:00,604800.0,644400.0,903600.0,6.28,0.80316,40.5,4.5,0.5,11
